TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
jipa.Variable,BRANCH,1.0,23,20
jipa.Label,BRANCH,1.0,11,11
jipa.Label,BRANCH,1.0,11,11
jipa.Label,BRANCH,1.0,11,11
jipa.Label,BRANCH,1.0,11,11
jipa.Label,BRANCH,1.0,11,11
jipa.Label,BRANCH,1.0,11,9
jipa.Label,BRANCH,1.0,11,11
jipa.Label,BRANCH,1.0,11,11
jipa.Label,BRANCH,1.0,11,11
jipa.Label,BRANCH,1.0,11,11
Newzgrabber.StringCompare,BRANCH,1.0,3,3
Newzgrabber.StringCompare,BRANCH,1.0,3,3
Newzgrabber.StringCompare,BRANCH,1.0,3,3
Newzgrabber.StringCompare,BRANCH,1.0,3,3
Newzgrabber.StringCompare,BRANCH,1.0,3,3
Newzgrabber.StringCompare,BRANCH,1.0,3,3
Newzgrabber.StringCompare,BRANCH,1.0,3,3
Newzgrabber.StringCompare,BRANCH,1.0,3,3
Newzgrabber.StringCompare,BRANCH,1.0,3,3
Newzgrabber.StringCompare,BRANCH,1.0,3,3
